x,y,z,nx,ny,nz,ux,uy,uz,area
-0.0475,-0.0475,0.0100,0,0,1,1,0,0,0.000025
-0.0425,-0.0475,0.0100,0,0,1,1,0,0,0.000025
-0.0375,-0.0475,0.0100,0,0,1,1,0,0,0.000025
-0.0325,-0.0475,0.0100,0,0,1,1,0,0,0.000025
-0.0275,-0.0475,0.0100,0,0,1,1,0,0,0.000025
-0.0225,-0.0475,0.0100,0,0,1,1,0,0,0.000025
-0.0175,-0.0475,0.0100,0,0,1,1,0,0,0.000025
-0.0125,-0.0475,0.0100,0,0,1,1,0,0,0.000025
-0.0075,-0.0475,0.0100,0,0,1,1,0,0,0.000025
-0.0025,-0.0475,0.0100,0,0,1,1,0,0,0.000025
0.0025,-0.0475,0.0100,0,0,1,1,0,0,0.000025
0.0075,-0.0475,0.0100,0,0,1,1,0,0,0.000025
0.0125,-0.0475,0.0100,0,0,1,1,0,0,0.000025
0.0175,-0.0475,0.0100,0,0,1,1,0,0,0.000025
0.0225,-0.0475,0.0100,0,0,1,1,0,0,0.000025
0.0275,-0.0475,0.0100,0,0,1,1,0,0,0.000025
0.0325,-0.0475,0.0100,0,0,1,1,0,0,0.000025
0.0375,-0.0475,0.0100,0,0,1,1,0,0,0.000025
0.0425,-0.0475,0.0100,0,0,1,1,0,0,0.000025
0.0475,-0.0475,0.0100,0,0,1,1,0,0,0.000025
-0.0475,-0.0425,0.0100,0,0,1,1,0,0,0.000025
-0.0425,-0.0425,0.0100,0,0,1,1,0,0,0.000025
-0.0375,-0.0425,0.0100,0,0,1,1,0,0,0.000025
-0.0325,-0.0425,0.0100,0,0,1,1,0,0,0.000025
-0.0275,-0.0425,0.0100,0,0,1,1,0,0,0.000025
-0.0225,-0.0425,0.0100,0,0,1,1,0,0,0.000025
-0.0175,-0.0425,0.0100,0,0,1,1,0,0,0.000025
-0.0125,-0.0425,0.0100,0,0,1,1,0,0,0.000025
-0.0075,-0.0425,0.0100,0,0,1,1,0,0,0.000025
